num_imputer__zip code (HigherEducationBySector),num_imputer__Latitude (HigherEducationBySector),num_imputer__Longitude (HigherEducationBySector),num_imputer__Distance to Philly (Latitude),num_imputer__Distance to Philly (Longitude),num_imputer__Distance to Pittsburgh (Latitude),num_imputer__Distance to Pittsburgh (Longitude),num_imputer__Distance to Allentown (Latitude),num_imputer__Distance to Allentown (Longitude),num_imputer__Distance to Reading (Latitude),num_imputer__Distance to Reading (Longitude),num_imputer__Distance to Erie (Latitude),num_imputer__Distance to Erie (Longitude),num_imputer__North,num_imputer__East,num_imputer__South,num_imputer__West,num_imputer__Central,cat_imputer__Institution,cat_imputer__Type (HigherEducationBySector),cat_imputer__County,cat_imputer__Address (HigherEducationBySector),cat_imputer__Sector and Type (HigherEducationBySector),cat_imputer__City (HigherEducationInstitutions),cat_imputer__State abbreviation (HD2024) (Cost)
17201.0,39.9470004,-77.6537371,-0.005599599999996485,-2.4891171000000014,-0.4916995999999969,2.343462900000006,-0.6552995999999993,-2.182337099999998,-0.389999600000003,-1.7323370999999952,-2.1819995999999975,2.431262899999993,0.0,0.0,1.0,0.0,1.0,374,1,25,23,4,136,0
18766.0,41.2443653,-75.8899735,1.2917653000000016,-0.7253534999999971,0.8056653000000011,4.10722650000001,0.6420652999999987,-0.4185734999999937,0.907365299999995,0.03142650000000913,-0.8846346999999994,4.195026499999997,1.0,1.0,0.0,0.0,0.0,373,1,36,187,4,136,0
17403.0,39.9474471,-76.7267984,-0.0051528999999987946,-1.5621784000000076,-0.4912528999999992,3.2704015999999996,-0.6548529000000016,-1.2553984000000042,-0.3895529000000053,-0.8053984000000014,-2.1815529,3.358201599999987,0.0,1.0,1.0,0.0,0.0,377,1,56,132,4,136,0
18974.0,40.202613,-75.076139,0.2500130000000027,0.08848100000000159,-0.23608699999999772,4.921061000000009,-0.3996870000000001,0.39526100000000497,-0.1343870000000038,0.8452610000000078,-1.9263869999999983,5.008860999999996,0.0,1.0,1.0,0.0,0.0,376,1,41,182,4,136,0
19426.0,40.1917705,-75.4568484,0.23917050000000017,-0.29222839999999906,-0.24692950000000025,4.540351600000008,-0.41052950000000266,0.014551600000004328,-0.14522950000000634,0.46455160000000717,-1.9372295000000008,4.628151599999995,0.0,1.0,1.0,0.0,0.0,349,1,41,161,4,136,0
16172.0,41.1182434,-80.3286896,1.1656434000000004,-5.164069600000005,0.6795434,-0.3314895999999976,0.5159433999999976,-4.857289600000001,0.7812433999999939,-4.407289599999999,-1.0107566000000006,-0.2436896000000104,0.0,0.0,0.0,1.0,1.0,357,1,33,113,4,136,0
17110.0,40.32432942,-76.8547252,0.3717294200000012,-1.690105200000005,-0.11437057999999922,3.1424748000000022,-0.27797058000000163,-1.3833252000000016,-0.012670580000005316,-0.9333251999999987,-1.8046705799999998,3.2302747999999895,0.0,1.0,0.0,0.0,1.0,372,0,19,122,3,136,0
18101.0,40.6017843,-75.4722813,0.6491843000000017,-0.3076613000000066,0.1630843000000013,4.524918700000001,-0.000515700000001118,-0.0008813000000031934,0.2647842999999952,0.44911869999999965,-1.5272156999999993,4.612718699999988,0.0,1.0,0.0,0.0,1.0,148,2,35,172,2,136,0
19437.0,40.1986857,-75.2354905,0.24608570000000185,-0.07087049999999806,-0.24001429999999857,4.761709500000009,-0.403614300000001,0.23590950000000532,-0.13831430000000466,0.6859095000000082,-1.9303142999999992,4.849509499999996,0.0,1.0,1.0,0.0,0.0,102,1,41,47,4,136,0
16735.0,40.50651532611014,-77.09257277513984,0.5539153303239193,-1.9279527771368485,0.0678153347428001,2.9046272207689956,-0.09578466071973679,-1.621172781381425,0.16951534380700117,-1.171172783526723,-1.6224846518627682,2.9924272144210775,1.0,0.0,0.0,1.0,0.0,201,2,38,200,7,136,0
18252.0,40.7949651,-75.9745066,0.8423651000000021,-0.8098865999999987,0.35626510000000167,4.0226934000000085,0.19266509999999926,-0.5031065999999953,0.4579650999999956,-0.053106599999992454,-1.334034899999999,4.110493399999996,0.0,1.0,0.0,0.0,1.0,149,2,46,87,2,136,0
19604.0,40.3627666,-75.9117629,0.4101666000000037,-0.7471429,-0.07593339999999671,4.085437100000007,-0.23953339999999912,-0.44036289999999667,0.025766599999997197,0.009637100000006171,-1.7662333999999973,4.173237099999994,0.0,1.0,1.0,0.0,0.0,2,1,4,62,4,136,0
18440.0,41.558966,-75.7740818,1.6063660000000013,-0.6094618000000054,1.1202660000000009,4.223118200000002,0.9566659999999985,-0.302681800000002,1.2219659999999948,0.14731820000000084,-0.5700339999999997,4.310918199999989,1.0,1.0,0.0,0.0,0.0,135,1,31,5,4,136,0
